Year,NumCountries
1896,12
1900,31
1904,15
1906,21
1908,22
1912,29
1920,29
1924,45
1928,46
1932,47
1936,49
1948,59
1952,69
1956,72
1960,84
1964,93
1968,112
1972,121
1976,92
1980,80
1984,140
1988,159
1992,169
1996,197
2000,200
2004,201
2008,204
2012,205
2016,207
